Lag	MinTime	Angle	Rating
250	75	360	3
125	150	0	3
250	0	0	3
250	150	360	3
250	75	0	3
62.5	150	90	3
62.5	75	360	3
62.5	75	0	3
250	0	0	5
0	150	0	3
125	0	90	3
0	0	0	3
125	75	90	4
250	75	90	3
62.5	0	360	3
0	0	360	1
62.5	0	0	2
62.5	150	360	2
0	0	0	1
125	75	0	2
250	0	360	3
250	0	90	2
62.5	0	90	3
125	150	90	4
125	0	360	3
125	0	0	3
0	75	0	2
62.5	150	0	3
125	75	360	3
250	150	0	5
0	150	360	3
125	0	0	2
0	150	90	2
0	75	360	3
250	150	90	4
0	0	90	3
0	75	90	1
62.5	0	0	3
62.5	75	90	3
125	150	360	3
