Lag	MinTime	Angle	Rating
125	0	90	3
62.5	0	360	4
125	0	0	5
0	150	0	2
250	75	0	5
125	75	360	5
0	0	0	1
125	75	0	4
250	0	360	5
250	0	0	4
62.5	150	360	4
62.5	150	90	2
62.5	0	90	3
62.5	150	0	3
125	150	0	3
0	0	90	3
0	0	360	1
125	0	360	3
0	150	360	1
250	0	0	5
250	150	90	4
62.5	75	0	2
62.5	0	0	2
0	75	90	1
125	150	90	4
250	75	90	5
250	75	360	5
0	75	360	3
250	150	360	5
125	0	0	2
0	150	90	1
0	0	0	1
125	75	90	4
250	0	90	5
125	150	360	4
62.5	75	360	3
62.5	0	0	1
250	150	0	4
0	75	0	3
62.5	75	90	3
